,b,k1,hits@10,hits@5,hits@3,hits@1
113,0.15000000000000002,2.0,0.91,0.871,0.829,0.698
114,0.15000000000000002,2.1,0.91,0.87,0.824,0.691
115,0.15000000000000002,2.2,0.91,0.869,0.824,0.691
116,0.15000000000000002,2.3000000000000003,0.91,0.867,0.821,0.687
117,0.15000000000000002,2.4000000000000004,0.909,0.867,0.82,0.68
118,0.15000000000000002,2.5,0.909,0.865,0.817,0.677
119,0.15000000000000002,2.6,0.906,0.866,0.816,0.671
120,0.15000000000000002,2.7,0.905,0.862,0.814,0.665
121,0.15000000000000002,2.8000000000000003,0.905,0.86,0.81,0.657
122,0.15000000000000002,2.9000000000000004,0.903,0.856,0.808,0.652
123,0.15000000000000002,3.0,0.903,0.854,0.808,0.651
124,0.2,0.0,0.892,0.856,0.818,0.692
125,0.2,0.1,0.9,0.868,0.833,0.71
126,0.2,0.2,0.904,0.873,0.844,0.716
127,0.2,0.30000000000000004,0.909,0.879,0.847,0.72
128,0.2,0.4,0.91,0.881,0.85,0.721
129,0.2,0.5,0.907,0.882,0.852,0.729
130,0.2,0.6000000000000001,0.909,0.885,0.856,0.729
131,0.2,0.7000000000000001,0.911,0.884,0.857,0.727
132,0.2,0.8,0.913,0.886,0.855,0.728
133,0.2,0.9,0.913,0.885,0.854,0.734
134,0.2,1.0,0.911,0.888,0.854,0.73
135,0.2,1.1,0.91,0.888,0.855,0.729
136,0.2,1.2000000000000002,0.91,0.887,0.854,0.726
137,0.2,1.3,0.912,0.885,0.853,0.722
138,0.2,1.4000000000000001,0.912,0.886,0.853,0.72
139,0.2,1.5,0.913,0.881,0.852,0.718
140,0.2,1.6,0.914,0.88,0.85,0.711
141,0.2,1.7000000000000002,0.915,0.877,0.847,0.71
142,0.2,1.8,0.912,0.876,0.845,0.708
143,0.2,1.9000000000000001,0.914,0.874,0.839,0.705
144,0.2,2.0,0.911,0.871,0.837,0.706
145,0.2,2.1,0.911,0.871,0.834,0.7
146,0.2,2.2,0.911,0.873,0.83,0.7
147,0.2,2.3000000000000003,0.91,0.87,0.829,0.695
148,0.2,2.4000000000000004,0.91,0.87,0.825,0.691
149,0.2,2.5,0.911,0.87,0.823,0.686
150,0.2,2.6,0.909,0.868,0.82,0.68
151,0.2,2.7,0.909,0.867,0.819,0.677
152,0.2,2.8000000000000003,0.906,0.865,0.814,0.675
153,0.2,2.9000000000000004,0.905,0.862,0.813,0.671
154,0.2,3.0,0.904,0.86,0.809,0.669
155,0.25,0.0,0.893,0.855,0.815,0.691
156,0.25,0.1,0.901,0.868,0.836,0.708
157,0.25,0.2,0.904,0.873,0.844,0.717
158,0.25,0.30000000000000004,0.909,0.879,0.848,0.721
159,0.25,0.4,0.91,0.88,0.851,0.725
160,0.25,0.5,0.909,0.884,0.855,0.733
161,0.25,0.6000000000000001,0.91,0.886,0.856,0.734
162,0.25,0.7000000000000001,0.913,0.885,0.856,0.738
163,0.25,0.8,0.914,0.89,0.856,0.738
164,0.25,0.9,0.913,0.89,0.855,0.738
165,0.25,1.0,0.912,0.891,0.854,0.738
166,0.25,1.1,0.913,0.89,0.855,0.735
167,0.25,1.2000000000000002,0.911,0.888,0.856,0.732
168,0.25,1.3,0.915,0.887,0.856,0.729
169,0.25,1.4000000000000001,0.916,0.888,0.853,0.726
170,0.25,1.5,0.917,0.884,0.85,0.724
171,0.25,1.6,0.918,0.885,0.849,0.719
172,0.25,1.7000000000000002,0.919,0.879,0.846,0.717
173,0.25,1.8,0.917,0.878,0.845,0.716
174,0.25,1.9000000000000001,0.917,0.876,0.844,0.712
175,0.25,2.0,0.914,0.875,0.841,0.712
176,0.25,2.1,0.913,0.876,0.836,0.714
177,0.25,2.2,0.914,0.876,0.836,0.711
178,0.25,2.3000000000000003,0.914,0.875,0.832,0.706
179,0.25,2.4000000000000004,0.914,0.876,0.827,0.7
180,0.25,2.5,0.913,0.873,0.827,0.695
181,0.25,2.6,0.912,0.872,0.826,0.691
182,0.25,2.7,0.912,0.87,0.822,0.689
183,0.25,2.8000000000000003,0.91,0.867,0.821,0.681
184,0.25,2.9000000000000004,0.907,0.866,0.818,0.679
185,0.25,3.0,0.906,0.863,0.817,0.678
186,0.30000000000000004,0.0,0.892,0.854,0.818,0.688
187,0.30000000000000004,0.1,0.904,0.868,0.837,0.712
188,0.30000000000000004,0.2,0.907,0.873,0.846,0.721
189,0.30000000000000004,0.30000000000000004,0.91,0.879,0.85,0.723
190,0.30000000000000004,0.4,0.91,0.88,0.852,0.73
191,0.30000000000000004,0.5,0.909,0.886,0.855,0.735
192,0.30000000000000004,0.6000000000000001,0.914,0.887,0.855,0.739
193,0.30000000000000004,0.7000000000000001,0.915,0.886,0.857,0.741
194,0.30000000000000004,0.8,0.915,0.891,0.856,0.744
195,0.30000000000000004,0.9,0.916,0.893,0.856,0.742
196,0.30000000000000004,1.0,0.918,0.894,0.856,0.743
197,0.30000000000000004,1.1,0.918,0.895,0.857,0.738
198,0.30000000000000004,1.2000000000000002,0.917,0.891,0.858,0.738
199,0.30000000000000004,1.3,0.916,0.889,0.858,0.738
200,0.30000000000000004,1.4000000000000001,0.918,0.889,0.851,0.736
201,0.30000000000000004,1.5,0.918,0.888,0.85,0.735
202,0.30000000000000004,1.6,0.919,0.885,0.849,0.728
203,0.30000000000000004,1.7000000000000002,0.918,0.881,0.848,0.726
204,0.30000000000000004,1.8,0.918,0.878,0.847,0.725
205,0.30000000000000004,1.9000000000000001,0.917,0.879,0.845,0.722
206,0.30000000000000004,2.0,0.916,0.878,0.843,0.721
207,0.30000000000000004,2.1,0.915,0.877,0.842,0.717
208,0.30000000000000004,2.2,0.915,0.878,0.838,0.714
209,0.30000000000000004,2.3000000000000003,0.915,0.878,0.837,0.713
210,0.30000000000000004,2.4000000000000004,0.915,0.876,0.834,0.711
211,0.30000000000000004,2.5,0.915,0.875,0.833,0.705
212,0.30000000000000004,2.6,0.915,0.875,0.831,0.699
213,0.30000000000000004,2.7,0.913,0.87,0.828,0.693
214,0.30000000000000004,2.8000000000000003,0.913,0.868,0.826,0.69
215,0.30000000000000004,2.9000000000000004,0.913,0.867,0.823,0.688
216,0.30000000000000004,3.0,0.909,0.867,0.819,0.684
217,0.35000000000000003,0.0,0.892,0.854,0.815,0.689
218,0.35000000000000003,0.1,0.905,0.868,0.839,0.712
219,0.35000000000000003,0.2,0.908,0.876,0.849,0.72
220,0.35000000000000003,0.30000000000000004,0.913,0.88,0.852,0.729
221,0.35000000000000003,0.4,0.912,0.883,0.854,0.734
222,0.35000000000000003,0.5,0.911,0.886,0.859,0.737
223,0.35000000000000003,0.6000000000000001,0.916,0.889,0.859,0.743
224,0.35000000000000003,0.7000000000000001,0.918,0.89,0.858,0.747
225,0.35000000000000003,0.8,0.919,0.893,0.858,0.749
226,0.35000000000000003,0.9,0.919,0.895,0.859,0.745
227,0.35000000000000003,1.0,0.919,0.897,0.858,0.744
228,0.35000000000000003,1.1,0.919,0.894,0.857,0.744
229,0.35000000000000003,1.2000000000000002,0.918,0.894,0.858,0.742
230,0.35000000000000003,1.3,0.917,0.889,0.859,0.743
231,0.35000000000000003,1.4000000000000001,0.918,0.888,0.855,0.743
232,0.35000000000000003,1.5,0.918,0.887,0.85,0.736
233,0.35000000000000003,1.6,0.918,0.886,0.852,0.732
234,0.35000000000000003,1.7000000000000002,0.917,0.882,0.851,0.729
235,0.35000000000000003,1.8,0.918,0.882,0.849,0.727
236,0.35000000000000003,1.9000000000000001,0.917,0.882,0.847,0.727
237,0.35000000000000003,2.0,0.916,0.882,0.844,0.726
238,0.35000000000000003,2.1,0.918,0.879,0.843,0.721
239,0.35000000000000003,2.2,0.915,0.878,0.843,0.718
240,0.35000000000000003,2.3000000000000003,0.915,0.878,0.841,0.714
241,0.35000000000000003,2.4000000000000004,0.915,0.877,0.84,0.713
242,0.35000000000000003,2.5,0.914,0.877,0.837,0.708
243,0.35000000000000003,2.6,0.914,0.877,0.837,0.705
244,0.35000000000000003,2.7,0.913,0.875,0.832,0.699
245,0.35000000000000003,2.8000000000000003,0.912,0.874,0.831,0.697
246,0.35000000000000003,2.9000000000000004,0.912,0.874,0.83,0.69
247,0.35000000000000003,3.0,0.912,0.874,0.823,0.69
248,0.4,0.0,0.893,0.853,0.815,0.691
249,0.4,0.1,0.905,0.869,0.84,0.713
250,0.4,0.2,0.909,0.876,0.848,0.721
251,0.4,0.30000000000000004,0.914,0.88,0.856,0.732
252,0.4,0.4,0.914,0.884,0.856,0.735
253,0.4,0.5,0.916,0.886,0.861,0.743
254,0.4,0.6000000000000001,0.918,0.891,0.862,0.747
255,0.4,0.7000000000000001,0.919,0.889,0.862,0.752
256,0.4,0.8,0.919,0.893,0.86,0.749
257,0.4,0.9,0.92,0.895,0.861,0.748
258,0.4,1.0,0.921,0.896,0.862,0.747
259,0.4,1.1,0.921,0.895,0.86,0.748
260,0.4,1.2000000000000002,0.921,0.894,0.861,0.747
261,0.4,1.3,0.924,0.89,0.863,0.746
262,0.4,1.4000000000000001,0.922,0.889,0.86,0.748
263,0.4,1.5,0.922,0.889,0.853,0.744
264,0.4,1.6,0.922,0.888,0.853,0.738
265,0.4,1.7000000000000002,0.922,0.885,0.853,0.733
266,0.4,1.8,0.922,0.882,0.85,0.73
267,0.4,1.9000000000000001,0.922,0.882,0.847,0.73
268,0.4,2.0,0.92,0.881,0.846,0.727
269,0.4,2.1,0.918,0.88,0.847,0.724
270,0.4,2.2,0.918,0.878,0.846,0.72
271,0.4,2.3000000000000003,0.915,0.877,0.845,0.717
272,0.4,2.4000000000000004,0.915,0.877,0.842,0.715
273,0.4,2.5,0.914,0.878,0.841,0.713
274,0.4,2.6,0.914,0.877,0.84,0.705
275,0.4,2.7,0.912,0.877,0.838,0.703
276,0.4,2.8000000000000003,0.91,0.877,0.839,0.702
277,0.4,2.9000000000000004,0.91,0.876,0.832,0.699
278,0.4,3.0,0.91,0.875,0.831,0.692
279,0.45,0.0,0.891,0.854,0.813,0.694
280,0.45,0.1,0.904,0.873,0.84,0.717
281,0.45,0.2,0.909,0.878,0.85,0.723
282,0.45,0.30000000000000004,0.915,0.883,0.857,0.736
283,0.45,0.4,0.916,0.885,0.856,0.742
284,0.45,0.5,0.917,0.888,0.86,0.749
285,0.45,0.6000000000000001,0.918,0.89,0.861,0.753
286,0.45,0.7000000000000001,0.921,0.891,0.862,0.756
287,0.45,0.8,0.921,0.893,0.863,0.756
288,0.45,0.9,0.921,0.895,0.862,0.755
289,0.45,1.0,0.921,0.893,0.863,0.752
290,0.45,1.1,0.922,0.895,0.862,0.752
291,0.45,1.2000000000000002,0.923,0.895,0.863,0.752
292,0.45,1.3,0.924,0.893,0.863,0.753
293,0.45,1.4000000000000001,0.925,0.891,0.86,0.753
294,0.45,1.5,0.924,0.888,0.858,0.75
295,0.45,1.6,0.923,0.889,0.856,0.74
296,0.45,1.7000000000000002,0.922,0.886,0.855,0.738
297,0.45,1.8,0.922,0.884,0.852,0.735
298,0.45,1.9000000000000001,0.921,0.885,0.851,0.732
299,0.45,2.0,0.921,0.884,0.848,0.729
300,0.45,2.1,0.921,0.882,0.848,0.725
301,0.45,2.2,0.92,0.88,0.848,0.725
302,0.45,2.3000000000000003,0.919,0.879,0.849,0.719
303,0.45,2.4000000000000004,0.916,0.878,0.847,0.716
304,0.45,2.5,0.915,0.879,0.845,0.713
305,0.45,2.6,0.915,0.876,0.842,0.709
306,0.45,2.7,0.913,0.876,0.842,0.705
307,0.45,2.8000000000000003,0.912,0.876,0.839,0.706
308,0.45,2.9000000000000004,0.911,0.876,0.837,0.705
309,0.45,3.0,0.911,0.875,0.837,0.702
310,0.5,0.0,0.893,0.852,0.815,0.687
311,0.5,0.1,0.904,0.873,0.84,0.717
312,0.5,0.2,0.91,0.879,0.851,0.729
313,0.5,0.30000000000000004,0.917,0.883,0.856,0.739
314,0.5,0.4,0.916,0.886,0.858,0.746
315,0.5,0.5,0.92,0.89,0.86,0.752
316,0.5,0.6000000000000001,0.919,0.89,0.863,0.755
317,0.5,0.7000000000000001,0.922,0.892,0.865,0.757
318,0.5,0.8,0.923,0.891,0.862,0.756
319,0.5,0.9,0.923,0.893,0.862,0.757
320,0.5,1.0,0.922,0.892,0.865,0.757
321,0.5,1.1,0.925,0.895,0.863,0.756
322,0.5,1.2000000000000002,0.926,0.895,0.862,0.757
323,0.5,1.3,0.926,0.893,0.863,0.756
324,0.5,1.4000000000000001,0.926,0.89,0.861,0.754
325,0.5,1.5,0.925,0.889,0.86,0.752
326,0.5,1.6,0.924,0.89,0.856,0.748
327,0.5,1.7000000000000002,0.923,0.888,0.853,0.742
328,0.5,1.8,0.923,0.886,0.851,0.74
329,0.5,1.9000000000000001,0.923,0.886,0.852,0.736
330,0.5,2.0,0.923,0.885,0.849,0.731
331,0.5,2.1,0.922,0.883,0.85,0.729
332,0.5,2.2,0.922,0.881,0.851,0.727
333,0.5,2.3000000000000003,0.922,0.879,0.851,0.724
334,0.5,2.4000000000000004,0.92,0.88,0.851,0.721
335,0.5,2.5,0.918,0.878,0.85,0.717
336,0.5,2.6,0.917,0.877,0.848,0.714
337,0.5,2.7,0.918,0.876,0.844,0.712
338,0.5,2.8000000000000003,0.918,0.876,0.843,0.706
339,0.5,2.9000000000000004,0.913,0.876,0.841,0.706
340,0.5,3.0,0.911,0.876,0.839,0.704
341,0.55,0.0,0.891,0.855,0.812,0.688
342,0.55,0.1,0.905,0.874,0.84,0.717
343,0.55,0.2,0.91,0.88,0.851,0.729
344,0.55,0.30000000000000004,0.917,0.884,0.858,0.742
345,0.55,0.4,0.92,0.888,0.86,0.751
346,0.55,0.5,0.921,0.89,0.861,0.753
347,0.55,0.6000000000000001,0.921,0.891,0.864,0.759
348,0.55,0.7000000000000001,0.921,0.891,0.865,0.762
349,0.55,0.8,0.923,0.892,0.864,0.763
350,0.55,0.9,0.922,0.896,0.863,0.764
351,0.55,1.0,0.924,0.894,0.865,0.761
352,0.55,1.1,0.926,0.894,0.862,0.76
353,0.55,1.2000000000000002,0.926,0.895,0.864,0.761
354,0.55,1.3,0.925,0.892,0.864,0.761
355,0.55,1.4000000000000001,0.926,0.892,0.863,0.757
356,0.55,1.5,0.926,0.89,0.861,0.754
357,0.55,1.6,0.926,0.889,0.859,0.752
358,0.55,1.7000000000000002,0.924,0.888,0.857,0.747
359,0.55,1.8,0.923,0.886,0.852,0.744
360,0.55,1.9000000000000001,0.924,0.886,0.852,0.744
361,0.55,2.0,0.923,0.886,0.851,0.739
362,0.55,2.1,0.923,0.885,0.851,0.735
363,0.55,2.2,0.923,0.883,0.851,0.732
364,0.55,2.3000000000000003,0.923,0.881,0.851,0.73
365,0.55,2.4000000000000004,0.922,0.88,0.851,0.726
366,0.55,2.5,0.921,0.878,0.849,0.723
367,0.55,2.6,0.921,0.878,0.847,0.717
368,0.55,2.7,0.921,0.878,0.849,0.712
369,0.55,2.8000000000000003,0.921,0.878,0.848,0.711
370,0.55,2.9000000000000004,0.92,0.878,0.846,0.709
371,0.55,3.0,0.919,0.878,0.844,0.706
372,0.6000000000000001,0.0,0.893,0.856,0.816,0.69
373,0.6000000000000001,0.1,0.905,0.874,0.84,0.718
374,0.6000000000000001,0.2,0.912,0.88,0.852,0.733
375,0.6000000000000001,0.30000000000000004,0.917,0.884,0.858,0.743
376,0.6000000000000001,0.4,0.92,0.887,0.862,0.751
377,0.6000000000000001,0.5,0.921,0.889,0.861,0.758
378,0.6000000000000001,0.6000000000000001,0.921,0.888,0.866,0.76
379,0.6000000000000001,0.7000000000000001,0.922,0.889,0.865,0.76
380,0.6000000000000001,0.8,0.923,0.896,0.867,0.763
381,0.6000000000000001,0.9,0.924,0.896,0.867,0.766
382,0.6000000000000001,1.0,0.926,0.893,0.865,0.765
383,0.6000000000000001,1.1,0.923,0.893,0.864,0.765
384,0.6000000000000001,1.2000000000000002,0.925,0.894,0.863,0.764
385,0.6000000000000001,1.3,0.926,0.893,0.865,0.763
386,0.6000000000000001,1.4000000000000001,0.925,0.893,0.864,0.76
387,0.6000000000000001,1.5,0.924,0.892,0.86,0.756
388,0.6000000000000001,1.6,0.924,0.89,0.86,0.755
389,0.6000000000000001,1.7000000000000002,0.924,0.887,0.858,0.747
390,0.6000000000000001,1.8,0.925,0.887,0.855,0.745
391,0.6000000000000001,1.9000000000000001,0.925,0.886,0.854,0.744
392,0.6000000000000001,2.0,0.923,0.886,0.854,0.74
393,0.6000000000000001,2.1,0.923,0.886,0.854,0.739
394,0.6000000000000001,2.2,0.924,0.883,0.853,0.738
395,0.6000000000000001,2.3000000000000003,0.924,0.881,0.853,0.731
396,0.6000000000000001,2.4000000000000004,0.923,0.881,0.853,0.726
397,0.6000000000000001,2.5,0.922,0.878,0.85,0.725
398,0.6000000000000001,2.6,0.922,0.879,0.849,0.721
399,0.6000000000000001,2.7,0.922,0.879,0.85,0.716
400,0.6000000000000001,2.8000000000000003,0.921,0.879,0.847,0.713
401,0.6000000000000001,2.9000000000000004,0.921,0.879,0.844,0.71
402,0.6000000000000001,3.0,0.919,0.877,0.843,0.708
403,0.65,0.0,0.892,0.853,0.816,0.69
404,0.65,0.1,0.905,0.873,0.841,0.72
405,0.65,0.2,0.914,0.88,0.853,0.733
406,0.65,0.30000000000000004,0.918,0.885,0.859,0.745
407,0.65,0.4,0.922,0.886,0.862,0.75
408,0.65,0.5,0.921,0.889,0.861,0.758
409,0.65,0.6000000000000001,0.923,0.889,0.864,0.758
410,0.65,0.7000000000000001,0.924,0.892,0.864,0.762
411,0.65,0.8,0.925,0.896,0.866,0.766
412,0.65,0.9,0.925,0.894,0.868,0.769
413,0.65,1.0,0.927,0.894,0.867,0.766
414,0.65,1.1,0.925,0.894,0.866,0.766
415,0.65,1.2000000000000002,0.928,0.892,0.866,0.765
416,0.65,1.3,0.926,0.892,0.866,0.764
417,0.65,1.4000000000000001,0.927,0.892,0.865,0.761
418,0.65,1.5,0.927,0.892,0.863,0.762
419,0.65,1.6,0.925,0.887,0.862,0.759
420,0.65,1.7000000000000002,0.925,0.886,0.859,0.755
421,0.65,1.8,0.925,0.885,0.857,0.75
422,0.65,1.9000000000000001,0.926,0.883,0.857,0.748
423,0.65,2.0,0.925,0.884,0.856,0.745
424,0.65,2.1,0.925,0.883,0.854,0.743
425,0.65,2.2,0.925,0.882,0.856,0.739
426,0.65,2.3000000000000003,0.924,0.881,0.853,0.731
427,0.65,2.4000000000000004,0.925,0.881,0.853,0.726
428,0.65,2.5,0.925,0.882,0.849,0.725
429,0.65,2.6,0.923,0.881,0.848,0.722
430,0.65,2.7,0.923,0.879,0.847,0.717
431,0.65,2.8000000000000003,0.922,0.877,0.846,0.717
432,0.65,2.9000000000000004,0.922,0.877,0.843,0.716
433,0.65,3.0,0.921,0.879,0.842,0.707
434,0.7000000000000001,0.0,0.892,0.855,0.817,0.688
435,0.7000000000000001,0.1,0.905,0.874,0.841,0.721
436,0.7000000000000001,0.2,0.915,0.881,0.854,0.734
437,0.7000000000000001,0.30000000000000004,0.919,0.885,0.857,0.745
438,0.7000000000000001,0.4,0.922,0.886,0.86,0.749
439,0.7000000000000001,0.5,0.922,0.888,0.862,0.755
440,0.7000000000000001,0.6000000000000001,0.925,0.891,0.865,0.761
441,0.7000000000000001,0.7000000000000001,0.924,0.893,0.864,0.763
442,0.7000000000000001,0.8,0.924,0.894,0.867,0.769
443,0.7000000000000001,0.9,0.925,0.896,0.869,0.769
444,0.7000000000000001,1.0,0.924,0.894,0.871,0.771
445,0.7000000000000001,1.1,0.924,0.894,0.869,0.767
446,0.7000000000000001,1.2000000000000002,0.927,0.894,0.87,0.768
447,0.7000000000000001,1.3,0.926,0.894,0.869,0.765
448,0.7000000000000001,1.4000000000000001,0.926,0.895,0.866,0.763
449,0.7000000000000001,1.5,0.927,0.892,0.864,0.762
450,0.7000000000000001,1.6,0.927,0.891,0.863,0.762
451,0.7000000000000001,1.7000000000000002,0.925,0.889,0.861,0.757
452,0.7000000000000001,1.8,0.925,0.888,0.86,0.756
453,0.7000000000000001,1.9000000000000001,0.925,0.887,0.859,0.752
454,0.7000000000000001,2.0,0.925,0.887,0.855,0.749
455,0.7000000000000001,2.1,0.925,0.885,0.857,0.746
456,0.7000000000000001,2.2,0.926,0.884,0.853,0.742
457,0.7000000000000001,2.3000000000000003,0.925,0.882,0.853,0.74
458,0.7000000000000001,2.4000000000000004,0.925,0.883,0.849,0.733
459,0.7000000000000001,2.5,0.924,0.884,0.846,0.729
460,0.7000000000000001,2.6,0.923,0.883,0.845,0.726
461,0.7000000000000001,2.7,0.923,0.88,0.842,0.723
462,0.7000000000000001,2.8000000000000003,0.923,0.879,0.842,0.72
463,0.7000000000000001,2.9000000000000004,0.92,0.881,0.841,0.716
464,0.7000000000000001,3.0,0.92,0.881,0.842,0.711
465,0.75,0.0,0.893,0.854,0.813,0.688
466,0.75,0.1,0.908,0.874,0.841,0.723
467,0.75,0.2,0.918,0.883,0.854,0.742
468,0.75,0.30000000000000004,0.92,0.885,0.857,0.746
469,0.75,0.4,0.924,0.887,0.86,0.748
470,0.75,0.5,0.923,0.888,0.862,0.756
471,0.75,0.6000000000000001,0.925,0.892,0.865,0.759
472,0.75,0.7000000000000001,0.925,0.892,0.865,0.761
473,0.75,0.8,0.923,0.894,0.871,0.767
