,query type,fields,hits@10,hits@5,hits@3,hits@1
74,cross_fields,"('title^1.0', 'text^2.0', 'text_lemma^1.25', 'keywords^2.0', 'ne^1.5')",0.92,0.882,0.855,0.75
75,cross_fields,"('title^2.0', 'text^1.75', 'text_lemma^2.0', 'keywords^1.5', 'ne^1.25')",0.919,0.884,0.859,0.753
76,cross_fields,"('title^1.5', 'text^2.0', 'text_lemma^1.5', 'keywords^2.0', 'ne^1.5')",0.919,0.884,0.857,0.748
77,cross_fields,"('title^2.0', 'text^1.5', 'text_lemma^1.0', 'keywords^1.5', 'ne^1.0')",0.919,0.885,0.858,0.751
78,cross_fields,"('title^1.5', 'text^2.0', 'text_lemma^1.0', 'keywords^2.0', 'ne^2.0')",0.919,0.884,0.853,0.738
79,cross_fields,"('title^1.5', 'text^2.0', 'text_lemma^1.0', 'keywords^2.0', 'ne^1.75')",0.919,0.884,0.851,0.745
80,cross_fields,"('title^1.75', 'text^2.0', 'text_lemma^1.5', 'keywords^2.0', 'ne^1.0')",0.919,0.883,0.857,0.75
81,cross_fields,"('title^2.0', 'text^1.75', 'text_lemma^1.0', 'keywords^1.75', 'ne^1.75')",0.919,0.887,0.855,0.74
82,cross_fields,"('title^1.0', 'text^1.5', 'text_lemma^1.0', 'keywords^1.5', 'ne^1.0')",0.919,0.883,0.854,0.75
83,cross_fields,"('title^1.25', 'text^1.75', 'text_lemma^2.0', 'keywords^1.5', 'ne^1.5')",0.919,0.882,0.859,0.752
84,cross_fields,"('title^2.0', 'text^1.75', 'text_lemma^2.0', 'keywords^1.5', 'ne^1.0')",0.919,0.884,0.859,0.753
85,cross_fields,"('title^1.25', 'text^1.75', 'text_lemma^2.0', 'keywords^1.5', 'ne^1.25')",0.919,0.882,0.859,0.753
86,cross_fields,"('title^1.25', 'text^1.75', 'text_lemma^2.0', 'keywords^1.5', 'ne^1.0')",0.919,0.882,0.859,0.753
87,cross_fields,"('title^1.25', 'text^1.75', 'text_lemma^1.0', 'keywords^1.5', 'ne^1.0')",0.919,0.888,0.851,0.751
88,cross_fields,"('title^1.5', 'text^2.0', 'text_lemma^1.0', 'keywords^1.75', 'ne^1.0')",0.919,0.886,0.852,0.748
89,cross_fields,"('title^1.5', 'text^2.0', 'text_lemma^1.0', 'keywords^1.75', 'ne^1.25')",0.919,0.886,0.852,0.748
90,cross_fields,"('title^1.5', 'text^2.0', 'text_lemma^1.5', 'keywords^2.0', 'ne^1.25')",0.919,0.883,0.857,0.749
91,cross_fields,"('title^2.0', 'text^1.75', 'text_lemma^1.0', 'keywords^1.5', 'ne^1.5')",0.919,0.887,0.853,0.75
92,cross_fields,"('title^2.0', 'text^1.75', 'text_lemma^2.0', 'keywords^1.5', 'ne^1.5')",0.919,0.884,0.859,0.752
93,cross_fields,"('title^1.5', 'text^2.0', 'text_lemma^1.0', 'keywords^1.75', 'ne^1.75')",0.919,0.885,0.852,0.749
94,cross_fields,"('title^1.5', 'text^2.0', 'text_lemma^1.0', 'keywords^1.75', 'ne^1.5')",0.919,0.886,0.852,0.747
95,cross_fields,"('title^2.0', 'text^1.5', 'text_lemma^1.0', 'keywords^1.5', 'ne^1.25')",0.919,0.885,0.857,0.751
96,cross_fields,"('title^1.75', 'text^2.0', 'text_lemma^1.0', 'keywords^1.75', 'ne^1.0')",0.919,0.887,0.853,0.749
97,cross_fields,"('title^1.5', 'text^2.0', 'text_lemma^1.5', 'keywords^2.0', 'ne^1.0')",0.919,0.883,0.857,0.749
98,cross_fields,"('title^1.5', 'text^1.25', 'text_lemma^1.75', 'keywords^1.25', 'ne^1.25')",0.919,0.886,0.856,0.745
99,cross_fields,"('title^1.5', 'text^1.75', 'text_lemma^1.25', 'keywords^1.75', 'ne^1.0')",0.919,0.884,0.855,0.751
100,cross_fields,"('title^1.75', 'text^2.0', 'text_lemma^1.5', 'keywords^2.0', 'ne^1.5')",0.919,0.884,0.857,0.749
101,cross_fields,"('title^1.25', 'text^2.0', 'text_lemma^1.0', 'keywords^1.75', 'ne^1.0')",0.919,0.887,0.852,0.746
102,cross_fields,"('title^1.5', 'text^1.75', 'text_lemma^1.25', 'keywords^1.75', 'ne^1.25')",0.919,0.884,0.855,0.75
103,cross_fields,"('title^1.25', 'text^2.0', 'text_lemma^1.25', 'keywords^1.75', 'ne^1.75')",0.919,0.886,0.852,0.75
104,cross_fields,"('title^1.25', 'text^2.0', 'text_lemma^1.0', 'keywords^1.75', 'ne^1.25')",0.919,0.887,0.852,0.746
105,cross_fields,"('title^1.25', 'text^2.0', 'text_lemma^1.0', 'keywords^1.75', 'ne^1.5')",0.919,0.887,0.852,0.746
106,cross_fields,"('title^1.5', 'text^2.0', 'text_lemma^1.25', 'keywords^1.75', 'ne^1.75')",0.919,0.885,0.852,0.751
107,cross_fields,"('title^1.75', 'text^2.0', 'text_lemma^1.25', 'keywords^1.75', 'ne^1.75')",0.919,0.886,0.853,0.752
108,cross_fields,"('title^1.75', 'text^2.0', 'text_lemma^1.0', 'keywords^1.75', 'ne^1.5')",0.919,0.887,0.853,0.748
109,cross_fields,"('title^1.75', 'text^2.0', 'text_lemma^1.0', 'keywords^1.75', 'ne^1.75')",0.919,0.886,0.853,0.75
110,cross_fields,"('title^1.5', 'text^1.25', 'text_lemma^1.75', 'keywords^1.25', 'ne^1.0')",0.919,0.886,0.856,0.746
111,cross_fields,"('title^1.25', 'text^2.0', 'text_lemma^1.0', 'keywords^1.75', 'ne^1.75')",0.919,0.886,0.852,0.748
112,cross_fields,"('title^2.0', 'text^1.5', 'text_lemma^1.0', 'keywords^1.5', 'ne^1.5')",0.919,0.888,0.858,0.742
113,cross_fields,"('title^1.75', 'text^1.5', 'text_lemma^1.0', 'keywords^1.25', 'ne^1.0')",0.919,0.887,0.853,0.75
114,cross_fields,"('title^1.75', 'text^2.0', 'text_lemma^1.25', 'keywords^2.0', 'ne^1.75')",0.919,0.882,0.853,0.751
115,cross_fields,"('title^1.75', 'text^1.5', 'text_lemma^1.0', 'keywords^1.5', 'ne^1.0')",0.919,0.885,0.856,0.749
116,cross_fields,"('title^1.75', 'text^1.5', 'text_lemma^1.0', 'keywords^1.5', 'ne^1.25')",0.919,0.885,0.855,0.749
117,cross_fields,"('title^2.0', 'text^1.5', 'text_lemma^1.25', 'keywords^1.5', 'ne^1.5')",0.919,0.888,0.86,0.743
118,cross_fields,"('title^2.0', 'text^1.5', 'text_lemma^1.25', 'keywords^1.5', 'ne^1.0')",0.919,0.886,0.862,0.746
119,cross_fields,"('title^1.75', 'text^2.0', 'text_lemma^1.25', 'keywords^2.0', 'ne^2.0')",0.919,0.885,0.855,0.742
120,cross_fields,"('title^1.25', 'text^1.75', 'text_lemma^1.0', 'keywords^1.5', 'ne^1.25')",0.919,0.888,0.851,0.75
121,cross_fields,"('title^1.25', 'text^2.0', 'text_lemma^1.0', 'keywords^2.0', 'ne^1.75')",0.919,0.884,0.852,0.745
122,cross_fields,"('title^1.75', 'text^2.0', 'text_lemma^1.0', 'keywords^1.75', 'ne^1.25')",0.919,0.887,0.853,0.749
123,cross_fields,"('title^1.25', 'text^2.0', 'text_lemma^1.0', 'keywords^2.0', 'ne^2.0')",0.919,0.884,0.854,0.737
124,cross_fields,"('title^1.5', 'text^1.5', 'text_lemma^1.0', 'keywords^1.5', 'ne^1.0')",0.919,0.885,0.854,0.751
125,cross_fields,"('title^1.75', 'text^2.0', 'text_lemma^1.5', 'keywords^2.0', 'ne^1.25')",0.919,0.883,0.857,0.75
126,cross_fields,"('title^2.0', 'text^1.0', 'text_lemma^1.25', 'keywords^1.75', 'ne^1.5')",0.919,0.877,0.843,0.733
127,cross_fields,"('title^1.75', 'text^1.75', 'text_lemma^1.0', 'keywords^1.75', 'ne^1.75')",0.919,0.886,0.855,0.742
128,cross_fields,"('title^1.0', 'text^1.75', 'text_lemma^1.25', 'keywords^1.75', 'ne^1.0')",0.919,0.883,0.856,0.751
129,cross_fields,"('title^1.5', 'text^1.75', 'text_lemma^1.0', 'keywords^1.5', 'ne^1.25')",0.919,0.889,0.853,0.75
130,cross_fields,"('title^1.0', 'text^1.75', 'text_lemma^1.5', 'keywords^2.0', 'ne^1.5')",0.919,0.877,0.847,0.739
131,cross_fields,"('title^1.25', 'text^2.0', 'text_lemma^1.5', 'keywords^2.0', 'ne^1.0')",0.919,0.883,0.858,0.749
132,cross_fields,"('title^1.75', 'text^1.0', 'text_lemma^1.25', 'keywords^1.5', 'ne^1.0')",0.919,0.878,0.845,0.738
133,cross_fields,"('title^1.25', 'text^2.0', 'text_lemma^1.5', 'keywords^2.0', 'ne^1.25')",0.919,0.883,0.858,0.749
134,cross_fields,"('title^1.0', 'text^1.75', 'text_lemma^1.5', 'keywords^2.0', 'ne^1.25')",0.919,0.878,0.846,0.738
135,cross_fields,"('title^1.25', 'text^2.0', 'text_lemma^1.5', 'keywords^2.0', 'ne^1.5')",0.919,0.884,0.858,0.748
136,cross_fields,"('title^2.0', 'text^1.25', 'text_lemma^1.25', 'keywords^1.5', 'ne^1.25')",0.919,0.878,0.846,0.739
137,cross_fields,"('title^1.75', 'text^1.25', 'text_lemma^1.0', 'keywords^1.25', 'ne^1.25')",0.919,0.889,0.859,0.74
138,cross_fields,"('title^1.75', 'text^1.25', 'text_lemma^1.0', 'keywords^1.25', 'ne^1.0')",0.919,0.887,0.86,0.745
139,cross_fields,"('title^2.0', 'text^2.0', 'text_lemma^1.5', 'keywords^2.0', 'ne^1.25')",0.919,0.884,0.858,0.75
140,cross_fields,"('title^1.0', 'text^1.75', 'text_lemma^1.5', 'keywords^2.0', 'ne^1.0')",0.919,0.878,0.846,0.738
141,cross_fields,"('title^2.0', 'text^2.0', 'text_lemma^1.5', 'keywords^2.0', 'ne^1.0')",0.919,0.884,0.858,0.75
142,cross_fields,"('title^2.0', 'text^1.25', 'text_lemma^1.0', 'keywords^1.75', 'ne^1.5')",0.919,0.877,0.843,0.732
143,cross_fields,"('title^1.25', 'text^1.5', 'text_lemma^1.0', 'keywords^1.5', 'ne^1.25')",0.919,0.884,0.853,0.75
144,cross_fields,"('title^2.0', 'text^1.25', 'text_lemma^1.0', 'keywords^1.75', 'ne^1.0')",0.919,0.876,0.842,0.73
145,cross_fields,"('title^1.0', 'text^1.75', 'text_lemma^1.0', 'keywords^1.75', 'ne^1.75')",0.919,0.884,0.855,0.741
146,cross_fields,"('title^1.0', 'text^2.0', 'text_lemma^1.0', 'keywords^2.0', 'ne^1.75')",0.919,0.883,0.851,0.745
147,cross_fields,"('title^1.0', 'text^1.75', 'text_lemma^1.0', 'keywords^1.5', 'ne^1.0')",0.919,0.888,0.851,0.748
148,cross_fields,"('title^1.0', 'text^1.75', 'text_lemma^1.0', 'keywords^1.5', 'ne^1.25')",0.919,0.888,0.851,0.748
149,cross_fields,"('title^1.25', 'text^1.75', 'text_lemma^1.0', 'keywords^1.75', 'ne^1.75')",0.919,0.885,0.854,0.741
150,cross_fields,"('title^1.75', 'text^1.0', 'text_lemma^1.0', 'keywords^1.0', 'ne^1.0')",0.919,0.882,0.855,0.748
151,cross_fields,"('title^2.0', 'text^1.0', 'text_lemma^1.25', 'keywords^1.75', 'ne^1.0')",0.919,0.877,0.84,0.733
152,cross_fields,"('title^1.5', 'text^1.75', 'text_lemma^1.0', 'keywords^1.5', 'ne^1.0')",0.919,0.889,0.853,0.751
153,cross_fields,"('title^2.0', 'text^2.0', 'text_lemma^1.5', 'keywords^2.0', 'ne^1.5')",0.919,0.885,0.858,0.749
154,cross_fields,"('title^1.25', 'text^1.5', 'text_lemma^1.0', 'keywords^1.5', 'ne^1.5')",0.919,0.887,0.855,0.741
155,cross_fields,"('title^1.0', 'text^1.75', 'text_lemma^2.0', 'keywords^1.5', 'ne^1.5')",0.919,0.882,0.859,0.749
156,cross_fields,"('title^1.75', 'text^1.0', 'text_lemma^1.0', 'keywords^1.5', 'ne^1.25')",0.919,0.877,0.843,0.736
157,cross_fields,"('title^1.75', 'text^1.0', 'text_lemma^1.0', 'keywords^1.5', 'ne^1.0')",0.919,0.876,0.842,0.736
158,cross_fields,"('title^1.0', 'text^1.25', 'text_lemma^1.0', 'keywords^1.25', 'ne^1.25')",0.919,0.887,0.859,0.742
159,cross_fields,"('title^1.0', 'text^1.25', 'text_lemma^1.0', 'keywords^1.25', 'ne^1.0')",0.919,0.885,0.858,0.747
160,cross_fields,"('title^1.0', 'text^2.0', 'text_lemma^1.5', 'keywords^2.0', 'ne^1.0')",0.919,0.883,0.858,0.749
161,cross_fields,"('title^1.0', 'text^2.0', 'text_lemma^1.5', 'keywords^2.0', 'ne^1.25')",0.919,0.883,0.858,0.749
162,cross_fields,"('title^1.25', 'text^1.75', 'text_lemma^1.25', 'keywords^1.75', 'ne^1.0')",0.919,0.884,0.855,0.751
163,cross_fields,"('title^1.0', 'text^1.75', 'text_lemma^1.25', 'keywords^1.75', 'ne^1.25')",0.919,0.884,0.856,0.75
164,cross_fields,"('title^1.75', 'text^1.75', 'text_lemma^1.0', 'keywords^1.5', 'ne^1.25')",0.919,0.889,0.853,0.751
165,cross_fields,"('title^2.0', 'text^1.25', 'text_lemma^1.5', 'keywords^1.25', 'ne^1.0')",0.919,0.884,0.853,0.743
166,cross_fields,"('title^2.0', 'text^1.25', 'text_lemma^1.25', 'keywords^1.75', 'ne^1.5')",0.919,0.879,0.844,0.739
167,cross_fields,"('title^1.0', 'text^2.0', 'text_lemma^1.5', 'keywords^2.0', 'ne^1.5')",0.919,0.883,0.858,0.748
168,cross_fields,"('title^1.0', 'text^2.0', 'text_lemma^1.0', 'keywords^2.0', 'ne^2.0')",0.919,0.882,0.853,0.738
169,cross_fields,"('title^1.0', 'text^1.75', 'text_lemma^2.0', 'keywords^1.5', 'ne^1.25')",0.919,0.882,0.859,0.75
170,cross_fields,"('title^2.0', 'text^2.0', 'text_lemma^1.0', 'keywords^1.75', 'ne^1.5')",0.919,0.887,0.854,0.75
171,cross_fields,"('title^2.0', 'text^2.0', 'text_lemma^1.0', 'keywords^2.0', 'ne^2.0')",0.919,0.885,0.854,0.739
172,cross_fields,"('title^1.25', 'text^1.75', 'text_lemma^1.25', 'keywords^1.75', 'ne^1.25')",0.919,0.884,0.855,0.75
173,cross_fields,"('title^2.0', 'text^2.0', 'text_lemma^1.0', 'keywords^1.75', 'ne^1.75')",0.919,0.886,0.854,0.751
174,cross_fields,"('title^1.0', 'text^1.75', 'text_lemma^2.0', 'keywords^1.5', 'ne^1.0')",0.919,0.882,0.859,0.75
175,cross_fields,"('title^2.0', 'text^2.0', 'text_lemma^1.0', 'keywords^1.75', 'ne^1.25')",0.919,0.887,0.854,0.751
176,cross_fields,"('title^2.0', 'text^2.0', 'text_lemma^1.0', 'keywords^1.75', 'ne^1.0')",0.919,0.887,0.854,0.751
177,cross_fields,"('title^1.75', 'text^1.75', 'text_lemma^1.0', 'keywords^1.5', 'ne^1.0')",0.919,0.889,0.853,0.752
178,cross_fields,"('title^2.0', 'text^1.0', 'text_lemma^1.25', 'keywords^1.75', 'ne^1.25')",0.918,0.877,0.84,0.735
179,cross_fields,"('title^2.0', 'text^1.5', 'text_lemma^1.75', 'keywords^1.0', 'ne^1.75')",0.918,0.891,0.854,0.751
180,cross_fields,"('title^2.0', 'text^1.5', 'text_lemma^1.75', 'keywords^1.25', 'ne^1.0')",0.918,0.89,0.856,0.752
181,cross_fields,"('title^2.0', 'text^1.5', 'text_lemma^1.75', 'keywords^1.25', 'ne^1.25')",0.918,0.89,0.856,0.751
182,cross_fields,"('title^1.25', 'text^1.75', 'text_lemma^1.25', 'keywords^2.0', 'ne^1.5')",0.918,0.879,0.845,0.738
183,cross_fields,"('title^1.75', 'text^1.75', 'text_lemma^1.0', 'keywords^1.5', 'ne^1.5')",0.918,0.887,0.853,0.752
184,cross_fields,"('title^2.0', 'text^1.5', 'text_lemma^1.75', 'keywords^1.25', 'ne^1.75')",0.918,0.891,0.854,0.751
185,cross_fields,"('title^1.25', 'text^1.75', 'text_lemma^1.25', 'keywords^2.0', 'ne^1.0')",0.918,0.879,0.844,0.738
186,cross_fields,"('title^1.25', 'text^1.75', 'text_lemma^1.25', 'keywords^2.0', 'ne^1.25')",0.918,0.879,0.844,0.739
187,cross_fields,"('title^1.75', 'text^1.5', 'text_lemma^1.75', 'keywords^1.25', 'ne^1.0')",0.918,0.887,0.857,0.753
188,cross_fields,"('title^1.25', 'text^2.0', 'text_lemma^1.0', 'keywords^1.75', 'ne^2.0')",0.918,0.887,0.855,0.742
189,cross_fields,"('title^1.0', 'text^1.5', 'text_lemma^1.0', 'keywords^1.75', 'ne^1.5')",0.918,0.879,0.843,0.734
190,cross_fields,"('title^1.75', 'text^1.75', 'text_lemma^1.25', 'keywords^1.75', 'ne^1.0')",0.918,0.885,0.856,0.752
191,cross_fields,"('title^1.0', 'text^2.0', 'text_lemma^1.25', 'keywords^2.0', 'ne^1.75')",0.918,0.881,0.854,0.75
192,cross_fields,"('title^1.0', 'text^2.0', 'text_lemma^1.25', 'keywords^2.0', 'ne^2.0')",0.918,0.884,0.856,0.742
